id;clubTxt;clubAbbr
166;Orientklub Vsetín;SVS
167;TJ Slovan Zdravotník Praha;SZP
168;KOB TRETRA Praha;TAP
169;KOS TJ Tesla Brno;TBM
170;SK Technik České Budějovice;TCB
171;Sokol Tehov;TEH
172;Tempo Praha;TEP
173;TJ Tolar Jindřichův Hradec;TJH
174;OOB TJ Tatran Jablonec n. N.;TJN
175;TJ Sokol Troja;TJP
176;SKOB BETA Třinec;TRC
177;TJ TŽ Třinec;TRI
1883;KOS Třešť;TRT
178;LKT 80 Šumperk;TSU
179;OOB Třebíč;TTR
180;OOB TJ Turnov;TUR
181;SOK TJ Turnov;TUV
182;OOB SK Týniště nad Orlicí;TYN
183;SKOB Zlín;TZL
184;MENISKOS Brno;UBM
185;SOB Olomouc;UOL
186;Slovan Praha;UVP
187;OOB Vamberk;VAM
385;ŠK VAZKA Bratislava;VBA
188;VSK Mendelu Brno;VBM
189;OB České Budějovice;VCB
190;YETTI Vejprty;VEY
191;OB Vizovice;VIC
192;SK VIPrahlo;VIP
194;Slavia Liberec orienteering;VLI
196;KOS Slavia Plzeň;VPM
197;Sportovní klub ve Vrbně pod Pradědem;VRB
198;OOS TJ Spartak Vrchlabí;VRL
199;USK Praha;VSP
226;SC vebr-sport;VTA
200;PELL´S ABND RACING TEAM;XBM
1134;MTB Chrudim;XCR
686;MTBO Racing team Hradec Králové;XHK
201;PARDUBICE BIKERS;XPU
203;OK Netopýr Zákupy;ZAK
204;OB TJ Sokol Žamberk;ZAM
205;SK Žabovřesky Brno;ZBM
206;OOB SK Zbraslav;ZBP
207;TJ Zhoř;ZHR
208;OOB TJ Zlaté Hory;ZLH
209;KOB ZPV Prostějov;ZPV
210;MTBO ČZU Praha;ZUP
211;OB SK Zvole;ZVO
212;TJ Zbrojovka Vsetín;ZVS
